date,Cartier_Global,Van Cleef & Arpels_Global,Cartier_TW,Van Cleef & Arpels_TW,Cartier_TW/Global_pct,VCA_TW/Global_pct,Cartier_MA4,VCA_MA4,Cartier_WoW_pct,VCA_WoW_pct,Cartier_roll_std4,VCA_roll_std4
2025-06-29,64,1,61,13,95.3125,1300.0,69.0,10.0,-7.57575757575758,8.333333333333325,7.257180352359076,2.9439202887759484
2025-07-06,67,1,59,19,88.05970149253731,1900.0,64.25,12.75,-3.2786885245901676,46.153846153846146,5.377421934967221,4.924428900898052
2025-07-13,70,2,72,12,102.85714285714285,600.0,64.5,14.0,22.033898305084755,-36.8421052631579,5.802298395176399,3.366501646120693
2025-07-20,71,2,72,17,101.40845070422534,850.0,66.0,15.25,0.0,41.66666666666667,6.976149845485446,3.304037933599835
2025-07-27,72,2,73,13,101.38888888888889,650.0,69.0,15.25,1.388888888888884,-23.529411764705888,6.683312551921135,3.304037933599835
2025-08-03,78,2,79,9,101.28205128205127,450.0,74.0,12.75,8.219178082191792,-30.76923076923077,3.366501646120685,3.304037933599835
2025-08-10,79,3,79,12,100.0,400.0,75.75,12.75,0.0,33.33333333333333,3.7749172176353665,3.304037933599835
2025-08-17,82,3,74,10,90.2439024390244,333.33333333333337,76.25,11.0,-6.329113924050633,-16.666666666666664,3.2015621187164145,1.8257418583505538
2025-08-24,82,3,85,16,103.65853658536585,533.3333333333333,79.25,11.75,14.864864864864868,60.00000000000001,4.499999999999995,3.095695936834452
2025-08-31,81,3,74,9,91.35802469135803,300.0,78.0,11.75,-12.941176470588234,-43.75,5.228129047119369,3.095695936834452
2025-09-07,75,3,88,13,117.33333333333333,433.3333333333333,80.25,12.0,18.918918918918926,44.44444444444444,7.320063751999246,3.1622776601683795
2025-09-14,72,2,88,16,122.22222222222223,800.0,83.75,13.5,0.0,23.076923076923084,6.6520673478250325,3.3166247903554
2025-09-21,72,2,77,13,106.94444444444444,650.0,81.75,12.75,-12.5,-18.75,7.320063751999246,2.872281323269014
2025-09-28,73,2,82,18,112.32876712328768,900.0,83.75,15.0,6.493506493506485,38.46153846153846,5.315072906367321,2.449489742783178
2025-10-05,71,2,87,14,122.53521126760563,700.0,83.5,15.25,6.0975609756097615,-22.22222222222222,5.066228051190217,2.2173557826083448
2025-10-12,66,1,73,14,110.6060606060606,1400.0,79.75,14.75,-16.09195402298851,0.0,6.075908711186059,2.2173557826083448
